task_id,planned_output,actual_output,code_exists,test_exists,runtime_verified,documentation_verified,status,evidence
TASK 00,"仓库盘点、基线记录","Git 初始化，环境记录完整","yes","N/A","yes","yes",verified,"commit 5ec36d7, 执行日志存在"
TASK 01,"数据合同文档 + Pydantic 模型","claim_contract/database_design/review_protocol + 6 个 schema","yes","yes (36 tests)","yes","yes",verified,"docs/claim_contract.md 等存在，schemas 测试通过"
TASK 02,"项目骨架、CLI、配置","pyproject.toml + CLI + config + AGENTS.md","yes","N/A","yes","yes",verified,"evidence-agent --help 正常"
TASK 03,"3 迁移 SQL + 迁移/检查/重建","3 个迁移文件 + connection/migrations.py","yes","yes (19 tests)","yes","partially",partially_verified,"重建仅重置表结构，未从资料包恢复数据"
TASK 04,"PDF 导入检测","ingest/files.py + hashing.py + ids.py","yes","yes (10 tests)","yes","yes",verified,"SHA-256 去重、资料包创建"
TASK 05,"PDF 解析、页码映射、章节","parsers/pdf.py","yes","yes (8 tests)","yes","yes",verified,"pdfplumber 提取 + 章节正则"
TASK 06,"Provider 协议 + MockProvider","extraction/provider.py","yes","yes (7 tests)","yes","yes",verified,"MockProvider 可离线运行"
TASK 07,"按章节提取、过滤、去重","extraction/claims.py","yes","yes (4 tests)","yes","partially",partially_verified,"不支持 task_focused vs source_complete 真实差异"
TASK 08,"Schema/Quote/Locator/Leakage 校验","validators/quote.py","yes","yes (13 tests)","yes","partially",partially_verified,"locator 校验不完整，无 page/section 交叉验证"
TASK 09,"CSV/JSONL/MD/HTML 复核包","review/packet.py","yes","no dedicated tests","no","no",not_verified,"review export 传入空列表，未从数据库读取"
TASK 10,"复核决定应用与修订历史","review/decisions.py","yes","no dedicated tests","no","no",not_verified,"apply_review_csv 无数据库连接测试"
TASK 11,"FTS5 全文搜索","search/fts.py","yes","no dedicated tests","no","no",not_verified,"无测试验证搜索结果正确性"
TASK 12,"Markdown/JSONL 导出","exports/markdown.py","yes","no dedicated tests","no","no",not_verified,"无测试验证导出内容"
TASK 13,"数据库从资料包重建","重建仅 drop + re-migrate","no","no","no","no",missing,"migrations.rebuild() 不读取资料包"
TASK 14,"Golden Set 标注和指标","不存在","no","no","no","no",missing,"无 golden 标注文件、无评估脚本"
TASK 15,"端到端完整闭环","tests/e2e/test_pipeline.py","yes","yes (3 tests)","no","no",misrepresented,"E2E 使用空白 PDF，无真实主张，断言弱"
TASK 16,"README、架构、完成报告","README + architecture.md","yes","N/A","no","partially",partially_verified,"执行日志宣称全完成但多个任务未真正完成"
